Small, 62, 18, 21, 3, 19
Small, 64, 2, 23, 5, 11
Small, 59, 16, 6, 25, 24
Small, 56, 7, 18, 2, 3
Small, 98, 25, 6, 9, 15
Small, 60, 25, 12, 5, 6
Small, 66, 17, 22, 9, 20
Small, 79, 23, 3, 10, 5
Small, 75, 2, 11, 13, 25
Small, 56, 14, 22, 2, 3
Medium, 149, 22, 25, 11, 11
Medium, 125, 24, 9, 7, 18
Medium, 149, 7, 4, 10, 9
Medium, 119, 20, 7, 14, 23
Medium, 143, 8, 2, 20, 7
Medium, 146, 24, 14, 6, 21
Medium, 129, 5, 24, 23, 5
Medium, 138, 12, 8, 8, 14
Medium, 125, 19, 24, 22, 10
Medium, 119, 12, 13, 6, 23
Large, 151, 5, 14, 1, 4
Large, 153, 4, 18, 3, 15
Large, 179, 22, 21, 14, 4
Large, 165, 14, 9, 19, 19
Large, 155, 25, 21, 17, 20
Large, 182, 19, 8, 3, 20
Large, 173, 23, 11, 18, 4
Large, 193, 23, 2, 11, 17
Large, 170, 7, 23, 19, 2
Large, 196, 9, 13, 14, 13
Giant, 222, 13, 14, 4, 19
Giant, 205, 19, 25, 18, 6
Giant, 235, 25, 10, 2, 22
Giant, 212, 21, 17, 7, 10
Giant, 211, 18, 14, 20, 14
Giant, 244, 19, 10, 2, 3
Giant, 207, 7, 10, 20, 9
Giant, 231, 4, 14, 12, 8
Giant, 248, 25, 1, 6, 2
Giant, 219, 18, 17, 6, 13
